,title,price,num_owners_from_new_text,reg,car_type,miles,eng,bhp,gears,fuel,extra_detail,seller_type,distance,seller_town,link
0,"Honda Civic 1.4 i-VTEC Si Hatchback 5dr Petrol Manual (135 g/km, …",3799.0,1/2 Leather Air Con Alloys,2010 (10 reg),Hatchback,82341,1.4L,98bhp,Manual,Petrol,,"
Trade seller
    ","
scunthorpe - 
103 miles away
                ",scunthorpe,/classified/advert/201907150092352?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
1,Chevrolet Lacetti 1.4 SE 5dr,695.0,full mot x2 keys FSH,2009 (59 reg),Hatchback,39000,1.4L,94bhp,Manual,Petrol,,"
Private seller
    ","
newcastle upon tyne - 
1 mile away
                ",newcastle upon tyne,/classified/advert/201907240422913?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
2,Honda Jazz 1.4 i-DSI SE 5dr,1295.0,"LONG MOT, RECENT NEW CLUTCH",2006 (06 reg),Hatchback,108000,1.4L,82bhp,Manual,Petrol,,"
Trade seller - See all 13 cars
","
newcastle upon tyne - 
2 miles away
                ",newcastle upon tyne,/classified/advert/201904247276253?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
3,Nissan Note 1.4 16v Acenta 5dr,1795.0,"FULL MOT,  IDEAL FIRST CAR",2008 (08 reg),Hatchback,88000,1.4L,87bhp,Manual,Petrol,,"
Trade seller - See all 13 cars
","
newcastle upon tyne - 
2 miles away
                ",newcastle upon tyne,/classified/advert/201905218183793?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
4,Audi A2 1.4 SE 5dr,995.0,16/08/2020 MOT ,2002 (51 reg),Hatchback,133000,1.4L,75bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201907109943529?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
5,Honda Jazz 1.4 ES 5dr,1999.0,FULL SERVICE HISTORY,2009 (09 reg),Hatchback,97000,1.4L,98bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201904277392596?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
6,Fiat Punto Evo 1.4 8v Active 3dr,2195.0,PRIVET PLEAT WITH THE CAR ,2011 (60 reg),Hatchback,86000,1.4L,77bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201903115761195?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
7,Alfa Romeo Mito 1.4 16v Lusso 3dr,2295.0,12 MONTHS MOTS & AA BREAKDOWN ,2009 (09 reg),Hatchback,81000,1.4L,95bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201902165008406?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
8,MINI Hatch 1.4 One 3dr,2695.0,LONG MOT,2008 (08 reg),Hatchback,63000,1.4L,95bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201907059777631?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
9,SEAT Ibiza 1.4 16v SE Chill ST 5dr,2795.0,LONG MOT ,2011 (11 reg),Estate,90000,1.4L,84bhp,Manual,Petrol,,"
Trade seller - See all 63 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201906219278448?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
10,Peugeot 208 1.4 HDi FAP Active 3dr,3990.0,FULL MOT+SERVICE+WARRANTY,2013 (13 reg),Hatchback,61681,1.4L,70bhp,Manual,Diesel,,"
Trade seller
    ","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201905117852201?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
11,Citroen C3 1.4 E-HDI EGS AIRDREAM VTR PLUS 5d 68 BHP PANORAMIC ROOF!,3995.0,£0 ROAD TAX! AUTO!,2012 (12 reg),Hatchback,38992,1.4L,70bhp,Automatic,Diesel,,"
Trade seller - See all 76 cars
","
chester le street - 
9 miles away
                ",chester le street,/classified/advert/201907260480626?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
12,Hyundai i20 1.4 CRDi Style 5dr,2799.0,Low Tax - 2 Keys-pristine,2009 (59 reg),Hatchback,75000,1.4L,89bhp,Manual,Diesel,,"
Trade seller - See all 87 cars
","
choppington - 
13 miles away
                ",choppington,/classified/advert/201907240399536?radius=1501&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&maximum-badge-engine-size=1.4&price-to=4000&postcode=ne46an&page=1
13,Hyundai i20 1.4 Comfort 5dr Hatchback,3095.0,CD Player,2009 (09 reg),Hatchback,61706,1.4L,98bhp,Manual,Petrol,Franchise,"
Trade seller - See all 37 cars
","
luton - 
219 miles away
                ",luton,/classified/advert/201906249362377?price-to=4000&maximum-badge-engine-size=1.4&radius=1501&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&postcode=ne46an&minimum-badge-engine-size=1.4&page=2
14,Nissan Micra 1.4 16v SX 3dr,670.0,Well maintained Nissan MicraSE,2004 (04 reg),Hatchback,77000,1.4L,87bhp,Manual,Petrol,,"
Private seller
    ","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201907210310089?price-to=4000&maximum-badge-engine-size=1.4&radius=1501&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&postcode=ne46an&minimum-badge-engine-size=1.4&page=2
15,Honda Civic 1.4 i-DSI SE Plus 5dr (Metallic Paint),2400.0,ECO PETROL - 1 PREVIOUS OWNER,2008 (08 reg),Hatchback,96600,1.4L,82bhp,Manual,Petrol,,"
Trade seller - See all 16 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201903085679528?price-to=4000&maximum-badge-engine-size=1.4&radius=1501&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&postcode=ne46an&minimum-badge-engine-size=1.4&page=2
16,Vauxhall Corsa 1.4 Exclusiv 5dr [AC],3117.0,Call us weekdays until 8pm,2012 (61 reg),Hatchback,44292,1.4L,99bhp,Manual,Petrol,,"
Trade seller - See all 89 cars
","
gateshead - 
2 miles away
                ",gateshead,/classified/advert/201904177057503?price-to=4000&maximum-badge-engine-size=1.4&radius=1501&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&sort=distance&postcode=ne46an&minimum-badge-engine-size=1.4&page=2
